weight,n_estimators,max_depth,learning_rate,gamma,train_acc,val_acc
0.5,60,4,0.01,0,0.7235780423280422,0.7093253968253969
0.8,60,4,0.01,0,0.7233796296296295,0.7053571428571429
0.2,30,4,0.01,0,0.7159722222222222,0.6993386243386244
0.5,30,4,0.01,0,0.715244708994709,0.7009920634920634
0.8,30,4,0.01,0,0.7152116402116402,0.6986111111111111
0.2,12,4,0.01,0,0.7095403439153439,0.6919973544973546
0.5,12,4,0.01,0,0.7110449735449735,0.6884920634920635
0.8,12,4,0.01,0,0.7046626984126985,0.6908068783068784
0.2,5,4,0.01,0,0.700132275132275,0.6863756613756613
0.5,5,4,0.01,0,0.7017857142857143,0.6861111111111111
0.8,5,4,0.01,0,0.7010582010582012,0.684457671957672
0.2,100,2,0.01,0,0.6517857142857143,0.6473544973544973
0.5,100,2,0.01,0,0.6514715608465609,0.648015873015873
0.8,100,2,0.01,0,0.6488260582010582,0.6455026455026455
0.2,60,2,0.01,0,0.6454530423280423,0.6421957671957672
0.5,60,2,0.01,0,0.6453373015873016,0.6417328042328042
0.8,60,2,0.01,0,0.6462136243386244,0.6439153439153439
0.2,30,2,0.01,0,0.6247354497354498,0.6210978835978835
0.5,30,2,0.01,0,0.623263888888889,0.6199074074074075
0.8,30,2,0.01,0,0.6227017195767195,0.6195767195767197
0.2,12,2,0.01,0,0.6215112433862434,0.617989417989418
0.5,12,2,0.01,0,0.6194113756613756,0.6163359788359789
0.8,12,2,0.01,0,0.6194444444444445,0.6150132275132275
0.2,5,2,0.01,0,0.623313492063492,0.6209656084656084
0.5,5,2,0.01,0,0.6247519841269841,0.6229497354497354
0.8,5,2,0.01,0,0.6236937830687831,0.6185846560846562
0.2,100,10,0.001,0,0.8812830687830688,0.7937169312169312
0.5,100,10,0.001,0,0.8825727513227513,0.7904100529100528
0.8,100,10,0.001,0,0.8822255291005291,0.7921296296296296
0.2,60,10,0.001,0,0.8741898148148148,0.7828703703703704
0.5,60,10,0.001,0,0.8775297619047618,0.7869708994708995
0.8,60,10,0.001,0,0.8754960317460316,0.7860449735449735
0.2,30,10,0.001,0,0.8741567460317461,0.7861772486772487
0.5,30,10,0.001,0,0.8722387566137566,0.7855820105820105
0.8,30,10,0.001,0,0.8722718253968254,0.7855820105820106
0.2,12,10,0.001,0,0.8659887566137566,0.7756613756613757
0.5,12,10,0.001,0,0.86942791005291,0.7817460317460319
0.8,12,10,0.001,0,0.8668981481481483,0.7756613756613756
0.2,5,10,0.001,0,0.8694609788359788,0.778042328042328
0.5,5,10,0.001,0,0.8657407407407407,0.777579365079365
0.8,5,10,0.001,0,0.8680390211640212,0.7783730158730158
0.2,100,7,0.001,0,0.8062665343915345,0.7582010582010582
0.5,100,7,0.001,0,0.8051091269841271,0.7578703703703703
0.8,100,7,0.001,0,0.8065972222222222,0.7562169312169312
0.2,60,7,0.001,0,0.8040013227513227,0.7514550264550264
0.5,60,7,0.001,0,0.8042824074074074,0.753968253968254
0.8,60,7,0.001,0,0.8035218253968253,0.7605820105820106
0.2,30,7,0.001,0,0.7990575396825397,0.7537037037037038
0.5,30,7,0.001,0,0.7988260582010582,0.7481481481481481
0.8,30,7,0.001,0,0.7977347883597885,0.7509920634920635
0.2,12,7,0.001,0,0.7996031746031746,0.75
0.5,12,7,0.001,0,0.795651455026455,0.7482142857142856
0.8,12,7,0.001,0,0.7972552910052909,0.7501984126984127
0.2,5,7,0.001,0,0.7949239417989418,0.7476190476190476
0.5,5,7,0.001,0,0.7965112433862434,0.7486772486772486
0.8,5,7,0.001,0,0.7957175925925927,0.7496693121693122
0.2,100,4,0.001,0,0.7058531746031745,0.6888227513227514
0.5,100,4,0.001,0,0.701521164021164,0.6837301587301587
0.8,100,4,0.001,0,0.7052248677248677,0.688558201058201
0.2,60,4,0.001,0,0.7029100529100528,0.6898809523809524
0.5,60,4,0.001,0,0.7051421957671957,0.6902777777777778
0.8,60,4,0.001,0,0.7034391534391535,0.6869047619047619
0.2,30,4,0.001,0,0.7029927248677249,0.6874338624338624
0.5,30,4,0.001,0,0.6958167989417989,0.6804894179894181
0.8,30,4,0.001,0,0.7039351851851852,0.690410052910053
0.2,12,4,0.001,0,0.6971395502645502,0.681084656084656
0.5,12,4,0.001,0,0.7002976190476191,0.6811507936507937
0.8,12,4,0.001,0,0.7023148148148148,0.682936507936508
0.2,5,4,0.001,0,0.7006613756613757,0.6873677248677248
0.5,5,4,0.001,0,0.696660052910053,0.6785714285714286
0.8,5,4,0.001,0,0.7016203703703703,0.6816798941798943
0.2,100,2,0.001,0,0.621114417989418,0.62010582010582
0.5,100,2,0.001,0,0.6189153439153439,0.6167989417989418
0.8,100,2,0.001,0,0.6180390211640211,0.6174603174603174
0.2,60,2,0.001,0,0.6227678571428571,0.6182539682539683
0.5,60,2,0.001,0,0.6238425925925926,0.6192460317460318
0.8,60,2,0.001,0,0.6215277777777779,0.619510582010582
0.2,30,2,0.001,0,0.624834656084656,0.6224206349206349
0.5,30,2,0.001,0,0.6249338624338624,0.6221560846560846
0.8,30,2,0.001,0,0.6269345238095237,0.6230820105820106
0.2,12,2,0.001,0,0.6277116402116403,0.624537037037037
0.5,12,2,0.001,0,0.6280257936507937,0.6242724867724868
0.8,12,2,0.001,0,0.626223544973545,0.6220238095238095
0.2,5,2,0.001,0,0.6248677248677248,0.6208333333333332
0.5,5,2,0.001,0,0.6284226190476192,0.6253968253968254
0.8,5,2,0.001,0,0.6261408730158731,0.6248677248677248
0.2,100,10,0.0001,0,0.8701554232804233,0.776521164021164
0.5,100,10,0.0001,0,0.8649801587301587,0.7776455026455026
0.8,100,10,0.0001,0,0.868369708994709,0.783531746031746
0.2,60,10,0.0001,0,0.867361111111111,0.7822751322751322
